magic_rank,ticker,name,pasa_filtros,per,pb,ev_ebit,ev_ebitda,fcf_yield,earnings_yield,roic,roc_greenblatt,roe,net_debt_ebitda,interest_coverage,current_ratio,piotroski,es_financiera,fin_rank,roa,capital_activos,fin_score
1,ADBE,ADOBE INC.,True,12.249467108727838,7.514299276024219,10.121490981533366,9.252173507478947,0.11280222793864612,0.09879967307430272,0.5730641995553359,4.648158035237587,0.6134388712036479,0.08179336413271734,33.10266159695818,0.9963725490196078,7,False,,,,
2,MO,"ALTRIA GROUP, INC.",True,17.477729979562245,-34.67098519932008,14.410828383474989,14.033722594000878,0.0747336941929459,0.06939226346951073,0.41303520474595,5.788888888888889,-1.9837235865219873,2.08903098868667,8.41036533559898,0.6480227223071882,6,False,,,,
3,MPC,Marathon Petroleum Corp,True,19.21357166149983,4.491008693201445,8.935631952006974,6.4187597049116105,0.06130612170350856,0.11191150277573783,0.5092496935431573,1.625049000392003,0.2337414808825228,-0.31814243631952865,5.568166554734721,1.2592743164955789,7,False,,,,
4,UPS,UNITED PARCEL SERVICE INC,True,16.881012762525657,5.796573803709433,14.206050986753905,10.284255370644425,0.05065861347753292,0.07039253913226316,0.18036190944075983,2.296934306569343,0.3433783200838109,1.628600349682525,7.735496558505408,1.219270166453265,5,False,,,,
5,LOW,LOWES COMPANIES INC,True,19.170551822587917,-12.862846811283655,16.38903297818379,13.476783982141411,0.05997921690227041,0.06101641270300371,0.2670667168874023,6.804959785522788,-0.6709690430573763,3.1454604357333764,,1.0766582746750244,6,False,,,,
6,MCK,MCKESSON CORP,True,19.848056244007854,-43.5158581187686,15.625795852215935,14.935750705333959,0.06050798959434424,0.06399674035535204,13.477691699228018,2.3283358320839582,-2.192449355432781,0.3925219264502231,25.149797570850204,0.8536639957025829,6,False,,,,
7,ACN,Accenture plc,True,11.312850674594356,2.7845399595786375,7.38203406095463,7.38203406095463,0.12518694829197075,0.13546401868954286,0.39352145773073816,1.0109439814231704,0.24613954870207658,-1.1127654888719207,44.7404957231301,1.4200349477501015,5,False,,,,
8,HD,"HOME DEPOT, INC.",False,25.20966758984761,27.85202953265299,19.5950241456143,16.773481986636728,0.03543606619873814,0.05103336400959817,0.24350391352227443,10.620233858668023,1.1048154218371966,2.1501393214227176,8.660862354892206,1.06066493955095,4,False,,,,
9,ROP,ROPER TECHNOLOGIES INC,False,23.92378010785742,1.84865847042232,20.46958190019744,14.602279608023155,0.06911609225659857,0.048852976327296384,0.06140865944169899,14.247291268323773,0.07727284158639941,2.8732448302272147,6.878153846153846,0.5175273781404337,6,False,,,,
10,B,BARRICK MINING CORP,True,19.552693695513668,3.357750808240847,13.49636383399631,10.951676921416436,0.008857227238768636,0.07409403097751976,0.15916637223309357,1.0694204152249136,0.17172829792814057,0.4469970462750246,,2.8577742065086382,6,False,,,,
11,SPGI,S&P Global Inc.,True,29.122667040021806,4.183102911810888,21.740111814747994,18.392639981185518,0.04190236608840447,0.04599792349373396,0.12009690968377733,23.302158273381295,0.1436373566357182,1.3876191719994777,22.571428571428573,0.8244074898520362,7,False,,,,
12,AMRZ,Amrize Ltd,False,25.056289762791618,2.239531103402328,14.56962401306824,10.424062826166692,0.047824807568533294,0.06863595101033829,0.1315219241116908,1.0449561403508771,0.0893799969829537,-0.7214714714714715,8.824074074074074,1.6384319215960799,3,False,,,,
13,GEHC,GE HealthCare Technologies Inc.,False,14.31141125703726,2.873589079840606,12.97067718409904,12.97067718409904,0.05046105467725892,0.07709697695860598,0.13116819814825786,0.8136042402826855,0.2007900568455535,2.1762576909156714,,1.3729818780889622,4,False,,,,
